Overall rating,Potential,Growth,Age,Age group,Team,Position rank,Position,IMC,Foot,Value,Wage,Goalkeeping,Total stats,Body type,Acceleration type,Classement 23/24,Classement 22/23,Classement 21/22,Classement moyen,Palmares 
0.7567567567567566,0.7666666666666666,0.16,0.21739130434782605,0.0,0.8947368421052632,0.3333333333333333,0.42857142857142855,0.29807692307692313,0.0,0.4147073536768384,0.16937354988399073,0.05,0.88,0.5555555555555556,0.0,0.17391304347826086,0.14,0.07317073170731708,0.12510045539780337,0.1
0.7567567567567566,0.7333333333333334,0.12,0.3913043478260869,0.5,0.5789473684210527,0.0,1.0,0.5000000000000002,1.0,0.40970485242621313,0.24593967517401388,0.06250000000000001,0.84,0.2222222222222222,0.5,0.08695652173913043,0.08,0.024390243902439025,0.06241628716849719,0.9500000000000001
0.8108108108108105,0.7333333333333334,0.04,0.5217391304347827,0.5,0.631578947368421,0.3333333333333333,0.07142857142857142,0.7692307692307694,1.0,0.3996998499249625,0.3735498839907192,0.024999999999999994,0.8000000000000002,1.0,0.5,0.0,0.0,0.0,0.0,0.5
0.7837837837837838,0.6999999999999997,0.04,0.3913043478260869,0.5,0.2631578947368421,0.3333333333333333,0.42857142857142855,0.42307692307692313,0.0,0.3946973486743372,0.29234338747099764,0.03749999999999999,0.92,0.4444444444444444,0.25,0.21739130434782608,0.22,0.04878048780487806,0.1607286364854005,0.30000000000000004
0.8108108108108105,0.7333333333333334,0.04,0.5652173913043479,0.5,0.631578947368421,0.3333333333333333,0.07142857142857142,0.49038461538461564,0.0,0.38969484742371185,0.3735498839907192,0.03749999999999999,0.84,0.4444444444444444,0.25,0.0,0.0,0.0,0.0,0.5
0.7297297297297298,0.7666666666666666,0.2,0.30434782608695654,0.5,0.5789473684210527,1.0,0.0,0.32692307692307687,1.0,0.38969484742371185,0.18561484918793503,0.03749999999999999,0.9,0.5555555555555556,0.5,0.08695652173913043,0.08,0.024390243902439025,0.06241628716849719,0.9500000000000001
0.6756756756756754,0.7999999999999998,0.32,0.17391304347826086,0.0,0.6842105263157895,0.0,0.7857142857142857,0.40384615384615397,1.0,0.38469234617308656,0.14385150812064962,0.05,0.7000000000000001,0.1111111111111111,1.0,0.30434782608695654,0.039999999999999994,0.12195121951219515,0.12510045539780337,1.0
0.7297297297297298,0.7333333333333334,0.16,0.30434782608695654,0.5,0.2631578947368421,0.0,1.0,0.41346153846153855,1.0,0.3746873436718359,0.25754060324825984,0.024999999999999994,0.7400000000000001,0.2222222222222222,0.0,0.21739130434782608,0.22,0.04878048780487806,0.1607286364854005,0.30000000000000004
0.7567567567567566,0.7333333333333334,0.12,0.34782608695652173,0.5,0.7368421052631579,0.3333333333333333,0.07142857142857142,0.3557692307692306,0.0,0.36968484242121064,0.22273781902552203,0.03749999999999999,0.66,0.5555555555555556,0.5,0.26086956521739135,0.06,0.24390243902439027,0.1695687114920975,0.2
0.7297297297297298,0.7333333333333334,0.16,0.34782608695652173,0.5,0.2631578947368421,1.0,0.0,0.32692307692307687,1.0,0.36968484242121064,0.23433874709976793,0.075,0.82,1.0,1.0,0.21739130434782608,0.22,0.04878048780487806,0.1607286364854005,0.30000000000000004
0.8108108108108105,0.6999999999999997,0.0,0.6086956521739131,0.5,0.5789473684210527,0.3333333333333333,0.42857142857142855,0.21153846153846168,0.0,0.3646823411705853,0.2807424593967517,0.03749999999999999,0.9,1.0,0.25,0.08695652173913043,0.08,0.024390243902439025,0.06241628716849719,0.9500000000000001
0.7837837837837838,0.6666666666666665,0.0,0.5217391304347827,0.5,0.631578947368421,0.0,0.5714285714285714,0.6730769230769231,1.0,0.3646823411705853,0.38515081206496515,0.03749999999999999,0.84,1.0,0.25,0.0,0.0,0.0,0.0,0.5
0.7567567567567566,0.6999999999999997,0.08,0.34782608695652173,0.5,0.2631578947368421,0.3333333333333333,0.07142857142857142,1.0000000000000002,1.0,0.3646823411705853,0.23433874709976793,0.03749999999999999,0.9800000000000001,0.7777777777777778,0.25,0.21739130434782608,0.22,0.04878048780487806,0.1607286364854005,0.30000000000000004
0.7297297297297298,0.7666666666666666,0.2,0.34782608695652173,0.5,0.21052631578947367,0.0,0.7857142857142857,0.5865384615384619,1.0,0.3646823411705853,0.17169373549883987,0.03749999999999999,0.9,0.4444444444444444,0.75,0.4347826086956522,0.09999999999999999,0.1951219512195122,0.20537547996249664,0.0
0.7297297297297298,0.7666666666666666,0.2,0.26086956521739135,0.0,0.5789473684210527,1.0,0.0,0.3173076923076923,1.0,0.3646823411705853,0.17169373549883987,0.03749999999999999,0.92,0.2222222222222222,0.5,0.08695652173913043,0.08,0.024390243902439025,0.06241628716849719,0.9500000000000001
0.8108108108108105,0.7666666666666666,0.08,0.5217391304347827,0.5,0.05263157894736842,0.6666666666666666,0.35714285714285715,0.42307692307692313,1.0,0.35967983991996,0.22273781902552203,0.9625,0.36,0.4444444444444444,0.0,0.043478260869565216,0.02,0.0975609756097561,0.053576212161800155,0.65
0.7837837837837838,0.6666666666666665,0.0,0.5652173913043479,0.5,0.05263157894736842,0.0,0.5714285714285714,0.47115384615384603,1.0,0.35467733866933465,0.36194895591647325,0.024999999999999994,0.7400000000000001,0.4444444444444444,0.75,0.043478260869565216,0.02,0.0975609756097561,0.053576212161800155,0.65
0.7567567567567566,0.6999999999999997,0.08,0.34782608695652173,0.5,0.10526315789473684,1.0,0.14285714285714285,0.2019230769230771,1.0,0.35467733866933465,0.22273781902552203,0.024999999999999994,0.8000000000000002,0.1111111111111111,0.5,0.13043478260869565,0.12000000000000001,0.3170731707317073,0.1963568175729976,0.35000000000000003
0.7297297297297298,0.7666666666666666,0.2,0.30434782608695654,0.5,0.6842105263157895,1.0,0.14285714285714285,0.5000000000000002,1.0,0.35467733866933465,0.18793503480278423,0.05,0.84,0.4444444444444444,0.25,0.30434782608695654,0.039999999999999994,0.12195121951219515,0.12510045539780337,1.0
0.7567567567567566,0.6666666666666665,0.04,0.4782608695652173,0.5,0.10526315789473684,1.0,0.2857142857142857,0.5000000000000002,1.0,0.34967483741870936,0.2691415313225058,0.03749999999999999,0.86,0.4444444444444444,0.0,0.13043478260869565,0.12000000000000001,0.3170731707317073,0.1963568175729976,0.35000000000000003
