,Overall rating,Potential,Growth,Age,Height,Weight,Value,Wage,Attacking,Skill,Movement,Power,Mentality,Defending,Goalkeeping,Total stats,Classement 23/24,Classement 22/23,Classement 21/22,Palmares 
Movement,0.36219626254713566,0.43414663684467697,0.03398736855063663,-0.1683254886882544,-0.6611690026767174,-0.5567040666568581,0.49014971044293915,0.3998125783057371,0.6391086205550895,0.6646784929514492,1.0,0.5110153966768527,0.481047133985159,0.060509323922727856,-0.29095718150685296,0.5939685714047209,-0.12758813302229335,-0.09369694706221754,-0.125473255908588,0.09785715309531498
Power,0.5965496477833486,0.34618183772331496,-0.3438136773844378,0.23794628744639132,-0.15235052561745213,-0.018049287510421515,0.6194184595386929,0.6690487071206913,0.8597498817650806,0.7462986960013909,0.5110153966768527,1.0,0.8029667649053381,0.3226017022204329,-0.2378077538313797,0.8074108145829916,-0.14693082631411508,-0.09775076926498405,-0.07722231697140385,0.1279098707206867
Mentality,0.5931816700576052,0.28949983520043504,-0.40141812174415625,0.30282619021189067,-0.3246953434965181,-0.1904986111900443,0.5755612556844847,0.6652140936708149,0.8125140230543395,0.8334605421245391,0.481047133985159,0.8029667649053381,1.0,0.540947610553815,-0.2159026717788187,0.9411782243830938,-0.18981493499687918,-0.150859413350035,-0.12669158692306967,0.14866671365487985
Defending,0.3699754034842963,0.20202251657940468,-0.18346017850933596,0.14437251256838574,-0.04885863926735373,0.01253317924060066,0.35479111628427557,0.41837195017412926,0.17487098956630182,0.3102337686362622,0.060509323922727856,0.3226017022204329,0.540947610553815,1.0,-0.2857598754173467,0.5858124665424876,-0.12468512898708681,-0.10915403039295944,-0.059042205640918693,0.08700345111397087
Goalkeeping,0.012508089464967152,-0.17826046652890293,-0.2480174355791071,0.2938457819433812,0.19504785488660567,0.177700440442057,-0.09534414706131294,-0.07588763935651642,-0.23109328960588515,-0.22960974657911484,-0.29095718150685296,-0.2378077538313797,-0.2159026717788187,-0.2857598754173467,1.0,-0.2056747049979245,0.016219441441384666,0.003976996879500391,0.043070374639434285,-0.007192289715190149
Total stats,0.6619342609533232,0.38784174318455605,-0.3721404999682392,0.2558695700219591,-0.37388126752072026,-0.23102508373708286,0.6675575424604553,0.7098632092597303,0.8120481369661431,0.8834459774466413,0.5939685714047209,0.8074108145829916,0.9411782243830938,0.5858124665424876,-0.2056747049979245,1.0,-0.2412687186657925,-0.18395591608472447,-0.1643841534039598,0.18126089286762667
Classement 23/24,-0.40600049360037116,-0.4810056953504762,0.018957187310568075,0.01235247607098303,-0.03365790378826277,-0.0633260957610572,-0.41062095055459863,-0.5264607649332548,-0.15987312522398456,-0.22583065276135647,-0.12758813302229335,-0.14693082631411508,-0.18981493499687918,-0.12468512898708681,0.016219441441384666,-0.2412687186657925,1.0,0.8202023693576187,0.7263998067829931,-0.6031797420452959
Classement 22/23,-0.34261265025070864,-0.4056460426819464,0.018236323696431685,0.005042131293868168,-0.01647305882358092,-0.05776635232498842,-0.3412997623185894,-0.4718514688298296,-0.1201329164853067,-0.18926422797977388,-0.09369694706221754,-0.09775076926498405,-0.150859413350035,-0.10915403039295944,0.003976996879500391,-0.18395591608472447,0.8202023693576187,1.0,0.6043151498211268,-0.4989443595870471
Classement 21/22,-0.2902359258755552,-0.4382003664398323,-0.05989547625583598,0.07411715676367897,0.007657542310515648,-0.052183790521473504,-0.3116018675580516,-0.35490653654917736,-0.11639409195906107,-0.18698201971450776,-0.125473255908588,-0.07722231697140385,-0.12669158692306967,-0.059042205640918693,0.043070374639434285,-0.1643841534039598,0.7263998067829931,0.6043151498211268,1.0,-0.5267931957673765
Palmares ,0.3003827820094878,0.3738622538538654,-0.019468400266243142,-0.006157480922815694,0.04095456357478028,0.04290520985220143,0.306694718609597,0.32235316533916675,0.12118318452935284,0.18227258598049656,0.09785715309531498,0.1279098707206867,0.14866671365487985,0.08700345111397087,-0.007192289715190149,0.18126089286762667,-0.6031797420452959,-0.4989443595870471,-0.5267931957673765,1.0
