Source,Target,Weight
135,1048,0.05263157894736842
135,1097,0.05263157894736842
137,160,0.5
137,651,0.5
140,34,0.03571428571428571
140,36,0.03571428571428571
140,58,0.03571428571428571
140,59,0.03571428571428571
140,135,0.03571428571428571
140,143,0.03571428571428571
140,160,0.03571428571428571
140,172,0.03571428571428571
140,194,0.03571428571428571
140,401,0.03571428571428571
140,408,0.03571428571428571
140,459,0.03571428571428571
140,476,0.03571428571428571
140,497,0.03571428571428571
140,511,0.03571428571428571
140,557,0.03571428571428571
140,593,0.03571428571428571
140,629,0.03571428571428571
140,651,0.03571428571428571
140,684,0.03571428571428571
140,719,0.03571428571428571
140,778,0.03571428571428571
140,808,0.03571428571428571
140,879,0.03571428571428571
140,1000,0.03571428571428571
140,1048,0.03571428571428571
140,1155,0.03571428571428571
140,1171,0.03571428571428571
141,105,0.2
141,121,0.2
141,383,0.2
141,560,0.2
141,950,0.2
143,154,0.25
143,499,0.25
143,665,0.25
143,861,0.25
147,290,0.16666666666666666
147,531,0.16666666666666666
147,765,0.16666666666666666
147,783,0.16666666666666666
147,889,0.16666666666666666
147,1033,0.16666666666666666
150,581,1.0
151,23,0.047619047619047616
151,51,0.047619047619047616
151,101,0.047619047619047616
151,287,0.047619047619047616
151,378,0.047619047619047616
151,382,0.047619047619047616
151,487,0.047619047619047616
151,533,0.047619047619047616
151,534,0.047619047619047616
151,537,0.047619047619047616
151,588,0.047619047619047616
151,589,0.047619047619047616
151,595,0.047619047619047616
151,636,0.047619047619047616
151,695,0.047619047619047616
151,770,0.047619047619047616
151,773,0.047619047619047616
151,781,0.047619047619047616
151,824,0.047619047619047616
151,1036,0.047619047619047616
151,1091,0.047619047619047616
152,62,0.09090909090909091
152,105,0.09090909090909091
152,121,0.09090909090909091
152,141,0.09090909090909091
152,361,0.09090909090909091
152,383,0.09090909090909091
152,529,0.09090909090909091
152,560,0.09090909090909091
152,803,0.09090909090909091
152,807,0.09090909090909091
152,950,0.09090909090909091
153,64,0.07692307692307693
